candidate,margin_mae,margin_rmse,margin_bias,margin_fav_tail_bias,total_mae,total_bias,winner_log_loss,winner_brier,wk1_margin_mae,wk1_total_mae,wk4p_margin_mae,wk4p_total_mae,m_mae_2017,t_mae_2017,m_mae_2018,t_mae_2018,m_mae_2019,t_mae_2019,m_mae_2021,t_mae_2021,m_mae_2022,t_mae_2022,m_mae_2023,t_mae_2023,m_mae_2024,t_mae_2024,m_mae_2025,t_mae_2025,runtime_s
tot_eff_ridge_d85,,,,,13.2754,0.819,,,,13.14,,13.3099,,14.6461,,13.5486,,13.0835,,13.0271,,12.984,,13.3016,,12.8443,,12.7987,11.1
tot_eff_ridge_d70,,,,,13.2841,0.9129,,,,13.1635,,13.3186,,14.6022,,13.5432,,13.1007,,13.0298,,13.0009,,13.3614,,12.8484,,12.8153,11.0
tot_struct_ridge_d85,,,,,13.298,0.9971,,,,13.1639,,13.3258,,14.4536,,13.6018,,13.1932,,13.0916,,13.1,,13.2589,,12.8611,,12.8554,0.1
tot_full_ridge_d85,,,,,13.2965,1.0227,,,,13.2632,,13.327,,14.6546,,13.6744,,13.1277,,13.1684,,12.8268,,13.1654,,12.9354,,12.8512,63.4
tot_eff_ridge_allrows_d85,,,,,13.2718,0.6764,,,,13.0982,,13.3116,,14.5333,,13.5222,,13.1689,,12.9808,,12.9611,,13.304,,12.9376,,12.7939,12.4
points_full_ridge_d85,12.9061,16.2582,0.2823,1.0097,13.3099,0.9355,0.54278,0.18396,12.7016,13.3089,12.7788,13.337,13.3542,14.6546,13.2346,13.6744,12.7434,13.1277,13.3138,13.1684,12.5503,12.8602,12.496,13.1476,12.8585,13.0259,12.7197,12.8512,121.1
