candidate,margin_mae,margin_rmse,margin_bias,margin_fav_tail_bias,total_mae,total_bias,winner_log_loss,winner_brier,wk1_margin_mae,wk1_total_mae,wk4p_margin_mae,wk4p_total_mae,m_mae_2017,t_mae_2017,m_mae_2018,t_mae_2018,m_mae_2019,t_mae_2019,m_mae_2021,t_mae_2021,m_mae_2022,t_mae_2022,m_mae_2023,t_mae_2023,m_mae_2024,t_mae_2024,m_mae_2025,t_mae_2025,runtime_s
struct_pre_long_ridge_d020,12.7098,16.0731,-0.222,0.1986,,,0.53505,0.18075,12.317,,12.6147,,13.1736,,13.0025,,12.554,,13.0996,,12.5054,,12.4702,,12.6643,,12.2382,,0.8
struct_pre_long_slim_ridge_d020,12.7199,16.0898,-0.2285,-0.248,,,0.53518,0.18087,12.2179,,12.6118,,13.1485,,13.0065,,12.5396,,13.1704,,12.5233,,12.4428,,12.6786,,12.2789,,0.9
tot_eff_long_ridge_d020,,,,,13.1058,0.6599,,,,13.1844,,13.1363,,14.1465,,13.3922,,12.9819,,12.9482,,12.8081,,12.9189,,12.8125,,12.8606,3.7
struct_pre_long_lgbm_d020,12.8536,16.2309,-0.1203,-1.5565,,,0.53745,0.18124,12.7854,,12.6979,,13.3124,,13.2633,,12.8116,,13.3372,,12.594,,12.49,,12.7637,,12.2956,,1618.8
