candidate,margin_mae,margin_rmse,margin_bias,margin_fav_tail_bias,total_mae,total_bias,winner_log_loss,winner_brier,wk1_margin_mae,wk1_total_mae,wk4p_margin_mae,wk4p_total_mae,m_mae_2017,t_mae_2017,m_mae_2018,t_mae_2018,m_mae_2019,t_mae_2019,m_mae_2021,t_mae_2021,m_mae_2022,t_mae_2022,m_mae_2023,t_mae_2023,m_mae_2024,t_mae_2024,m_mae_2025,t_mae_2025,runtime_s
abl_talent,12.8363,16.2363,-0.2358,0.2178,,,0.54056,0.1827,13.2731,,12.6801,,13.1629,,13.2775,,12.542,,13.3056,,12.5253,,12.6623,,12.8342,,12.4069,,7.0
abl_returning,12.8245,16.217,-0.2499,-0.7102,,,0.54111,0.18329,12.6168,,12.7137,,13.3169,,13.1111,,12.7569,,13.42,,12.4966,,12.5381,,12.7047,,12.2892,,0.8
abl_coaching,12.8011,16.201,-0.2441,-0.0049,,,0.53951,0.18238,12.4534,,12.6841,,13.0652,,13.1267,,12.6065,,13.3964,,12.425,,12.4828,,12.9425,,12.3893,,4.0
abl_prev_strength,12.9715,16.4117,-0.2305,0.3974,,,0.54649,0.18552,12.3883,,12.8998,,13.1541,,13.2833,,12.8747,,13.5794,,12.6451,,12.597,,13.0394,,12.6252,,0.8
abl_sp_prev,12.7835,16.1866,-0.2427,-0.0922,,,0.53863,0.18223,12.2275,,12.6825,,13.0195,,13.1263,,12.6541,,13.3034,,12.5044,,12.4625,,12.8261,,12.3985,,3.3
abl_poll,12.7783,16.1758,-0.2257,-0.0186,,,0.5391,0.1823,12.407,,12.6811,,13.0432,,13.1226,,12.6217,,13.2617,,12.4649,,12.502,,12.8244,,12.4108,,3.0
abl_fbs_new,12.8339,16.2353,-0.3198,-0.0311,,,0.54142,0.18331,12.3235,,12.7405,,13.4953,,13.1437,,12.6321,,13.229,,12.4677,,12.5055,,12.8285,,12.3986,,4.5
abl_early,12.8593,16.269,-0.2658,-0.0793,,,0.54127,0.18343,12.7882,,12.7246,,13.0444,,13.2002,,12.6647,,13.3689,,12.582,,12.6122,,12.9402,,12.4852,,0.8
abl_only_talent_prev,12.8608,16.2616,-0.2889,-1.1455,,,0.54251,0.18382,12.4554,,12.7168,,13.2307,,13.0637,,12.7534,,13.5472,,12.4816,,12.5501,,12.8936,,12.3966,,0.5
struct_pre_elo_ridge,12.6607,16.0212,-0.1086,0.2381,,,0.53428,0.18054,12.3751,,12.5534,,12.8506,,12.9566,,12.4547,,13.0877,,12.4197,,12.4785,,12.7158,,12.3416,,3.9
struct_pre_k2_ridge,12.7801,16.1801,-0.2063,0.0171,,,0.53905,0.18235,12.4586,,12.671,,13.0306,,13.1251,,12.656,,13.2918,,12.4563,,12.4746,,12.8332,,12.3996,,3.5
struct_pre_k8_ridge,12.7789,16.1803,-0.2418,0.0159,,,0.53885,0.18222,12.4138,,12.6846,,13.0366,,13.1482,,12.6146,,13.2634,,12.4756,,12.5171,,12.8199,,12.3819,,2.4
