candidate,margin_mae,margin_rmse,margin_bias,margin_fav_tail_bias,total_mae,total_bias,winner_log_loss,winner_brier,wk1_margin_mae,wk1_total_mae,wk4p_margin_mae,wk4p_total_mae,m_mae_2017,t_mae_2017,m_mae_2018,t_mae_2018,m_mae_2019,t_mae_2019,m_mae_2021,t_mae_2021,m_mae_2022,t_mae_2022,m_mae_2023,t_mae_2023,m_mae_2024,t_mae_2024,m_mae_2025,t_mae_2025,runtime_s
struct_pre_ridge_d025w90,12.6828,16.0481,-0.1139,0.3277,,,0.53431,0.18052,12.4792,,12.5824,,12.8625,,13.0382,,12.5718,,13.0988,,12.4852,,12.4891,,12.7002,,12.2429,,0.5
tot_eff_ridge_d025w90,,,,,13.2036,0.8865,,,,13.1637,,13.2326,,14.4819,,13.3623,,13.025,,13.0289,,12.8925,,13.0889,,12.8816,,12.891,1.4
eff_pre_ridge_d025w90,12.6991,16.0297,-0.1346,0.7982,,,0.5343,0.18039,12.4158,,12.5835,,12.9481,,13.105,,12.6174,,13.1144,,12.4559,,12.4681,,12.6424,,12.2708,,0.7
